cantimestamp;datetimestamp;deviceid;antennaID;data
3315872424;04.06.2021 23:59:12:802;3;1;900133000459724
3317156922;04.06.2021 23:59:13:659;3;1;
3317254420;04.06.2021 23:59:13:724;3;1;900133000459725
3317691074;04.06.2021 23:59:14:015;3;2;900133000459724
3317840651;04.06.2021 23:59:14:114;3;1;
3317991785;04.06.2021 23:59:14:215;3;2;
3318133369;04.06.2021 23:59:14:310;3;1;900133000459724
3318433963;04.06.2021 23:59:14:510;3;1;
3318722986;04.06.2021 23:59:14:702;3;2;900133000459724
3319122765;04.06.2021 23:59:14:968;3;2;
3320022340;04.06.2021 23:59:15:569;3;2;900133000459725
3320520265;04.06.2021 23:59:15:901;3;2;
3409179821;05.06.2021 00:00:15:010;3;2;900133000459719
3409278290;05.06.2021 00:00:15:075;3;1;900133000459719
3409579337;05.06.2021 00:00:15:276;3;2;
3409579949;05.06.2021 00:00:15:276;3;1;
3409839527;05.06.2021 00:00:15:449;3;1;900133000459719
3410288821;05.06.2021 00:00:15:749;3;1;
3411250382;05.06.2021 00:00:16:390;3;1;900133000459693
3411600474;05.06.2021 00:00:16:624;3;1;
3415234414;05.06.2021 00:00:19:046;17;2;900133000459719
3418779328;05.06.2021 00:00:21:411;17;2;
3422470243;05.06.2021 00:00:23:870;17;2;900133000459719
3423581551;05.06.2021 00:00:24:610;17;2;
3423582979;05.06.2021 00:00:24:611;17;2;900133000459693
3424325822;05.06.2021 00:00:25:108;17;2;
3424731053;05.06.2021 00:00:25:377;17;2;900133000459719
3425818241;05.06.2021 00:00:26:102;17;2;
3428360085;05.06.2021 00:00:27:797;17;2;900133000459719
3430186337;05.06.2021 00:00:29:014;17;2;
3430187765;05.06.2021 00:00:29:014;17;2;900133000459693
3430586144;05.06.2021 00:00:29:281;17;2;
3431974675;05.06.2021 00:00:30:206;17;1;900133000459719
3433405864;05.06.2021 00:00:31:161;17;1;
3436622209;05.06.2021 00:00:33:305;17;1;900133000459693
3437021691;05.06.2021 00:00:33:572;17;1;
3445924838;05.06.2021 00:00:39:506;3;2;900133000459724
3446023271;05.06.2021 00:00:39:573;3;1;900133000459724
3446422475;05.06.2021 00:00:39:839;3;2;
3446423086;05.06.2021 00:00:39:839;3;1;
3446564801;05.06.2021 00:00:39:933;3;2;900133000459725
3446760469;05.06.2021 00:00:40:064;3;1;900133000459724
3446865201;05.06.2021 00:00:40:134;3;2;
3447197437;05.06.2021 00:00:40:356;3;1;
3447198877;05.06.2021 00:00:40:356;3;1;900133000459725
3448138203;05.06.2021 00:00:40:982;3;1;
3458902927;05.06.2021 00:00:48:160;17;2;900133000459724
3460432881;05.06.2021 00:00:49:179;17;2;
3460463924;05.06.2021 00:00:49:199;17;2;900133000459725
3460944910;05.06.2021 00:00:49:520;17;2;
3461262121;05.06.2021 00:00:49:732;17;1;900133000459724
3461398810;05.06.2021 00:00:49:823;19;2;900133000459719
3461957358;05.06.2021 00:00:50:196;17;1;
3462093338;05.06.2021 00:00:50:286;19;2;
3463047168;05.06.2021 00:00:50:922;17;1;900133000459725
3466297556;05.06.2021 00:00:53:089;17;1;
3469166374;05.06.2021 00:00:55:001;19;2;900133000459719
3469761704;05.06.2021 00:00:55:399;19;2;
3472102374;05.06.2021 00:00:56:959;19;1;900133000459719
3473828585;05.06.2021 00:00:58:111;19;1;
3473950598;05.06.2021 00:00:58:190;19;1;900133000459693
3474349638;05.06.2021 00:00:58:456;19;1;
3498286465;05.06.2021 00:01:14:416;3;1;900133000459723
3498532877;05.06.2021 00:01:14:580;3;2;900133000459727
3498588088;05.06.2021 00:01:14:617;3;1;
3498668437;05.06.2021 00:01:14:671;3;1;900133000459723
3498933544;05.06.2021 00:01:14:848;3;2;
3499116624;05.06.2021 00:01:14:969;3;1;
3499319191;05.06.2021 00:01:15:104;3;1;900133000459727
3500161787;05.06.2021 00:01:15:666;3;1;
3520716730;05.06.2021 00:01:29:370;3;2;900133000459721
3521060053;05.06.2021 00:01:29:599;3;1;900133000459722
3521116235;05.06.2021 00:01:29:636;3;2;
3521247883;05.06.2021 00:01:29:724;3;1;
3521249335;05.06.2021 00:01:29:725;3;1;900133000459721
3522532920;05.06.2021 00:01:30:581;3;1;
3528210000;05.06.2021 00:01:34:366;3;1;900133000459722
3528473167;05.06.2021 00:01:34:541;3;1;
3528474618;05.06.2021 00:01:34:542;3;1;900133000459721
3528735454;05.06.2021 00:01:34:715;3;2;900133000459722
3528775125;05.06.2021 00:01:34:742;3;1;
3529030536;05.06.2021 00:01:34:913;3;2;
3529031976;05.06.2021 00:01:34:913;3;2;900133000459721
3529332723;05.06.2021 00:01:35:114;3;2;
3533522962;05.06.2021 00:01:37:908;9;1;900133000459722
3534000058;05.06.2021 00:01:38:226;9;1;
3534001510;05.06.2021 00:01:38:228;9;1;900133000459721
