cantimestamp;datetimestamp;deviceid;antennaID;data
6586031;19.05.2021 09:51:54:513;19;1;826097200030719
7722335;19.05.2021 09:51:55:270;19;1;
9289310;19.05.2021 09:51:56:315;19;1;826097200030719
9689130;19.05.2021 09:51:56:582;19;1;
16285217;19.05.2021 09:52:00:980;19;2;826097200030719
17471460;19.05.2021 09:52:01:770;19;2;
21962198;19.05.2021 09:52:04:764;19;2;826097200030719
23147457;19.05.2021 09:52:05:554;19;2;
110610227;19.05.2021 11:23:18:300;17;2;900133000459724
110911157;19.05.2021 11:23:18:498;17;2;
133811131;19.05.2021 11:23:33:765;17;2;900133000459724
135285478;19.05.2021 11:23:34:748;17;2;
135286906;19.05.2021 11:23:34:750;17;2;900133000459725
136128555;19.05.2021 11:23:35:310;17;2;
136171010;19.05.2021 11:23:35:338;17;2;900133000459725
136816763;19.05.2021 11:23:35:769;17;2;
137203179;19.05.2021 11:23:36:026;17;2;900133000459725
137700784;19.05.2021 11:23:36:358;17;2;
138326054;19.05.2021 11:23:36:776;17;2;900133000459725
138724817;19.05.2021 11:23:37:041;17;2;
139966459;19.05.2021 11:23:37:870;17;1;900133000459724
140856870;19.05.2021 11:23:38:463;17;1;
142620593;19.05.2021 11:23:39:639;17;1;900133000459724
143462166;19.05.2021 11:23:40:200;17;1;
143563083;19.05.2021 11:23:40:267;17;1;900133000459725
145388257;19.05.2021 11:23:41:484;17;1;
145627398;19.05.2021 11:23:41:643;17;1;900133000459725
146665357;19.05.2021 11:23:42:335;17;1;
198909522;19.05.2021 11:24:17:166;9;2;900133000459724
199555417;19.05.2021 11:24:17:596;9;2;
200088215;19.05.2021 11:24:17:952;9;2;900133000459725
201569503;19.05.2021 11:24:18:939;9;2;
202152544;19.05.2021 11:24:19:328;9;2;900133000459725
202504687;19.05.2021 11:24:19:563;9;2;
202841590;19.05.2021 11:24:19:788;9;1;900133000459724
204223907;19.05.2021 11:24:20:709;9;1;
204670861;19.05.2021 11:24:21:008;9;1;900133000459724
205513012;19.05.2021 11:24:21:569;9;1;
206366996;19.05.2021 11:24:22:138;9;1;900133000459725
207799065;19.05.2021 11:24:23:093;9;1;
