cohort,mouse ,back_tag,leg_tag,weight_PD1,weight_PD6,weight_GD1
1,1,900133000459712,900133000459713,38.5,37.4,38.3
2,1,900133000459701,900133000459702,37.9,38.3,38.8
2,3,900133000459703,900133000459704,39.5,40.3,39.4
1,3,900133000459649,900133000459650,34.7,34.8,35.9
1,4,900133000459647,900133000459648,35.1,35.5,35.4
2,4,900133000459631,900133000459632,37.5,38,37.8
1,6,900133000459633,900133000459634,33.5,33.9,35.4
2,6,900133000459635,900133000459636,36.1,36.4,38.8
1,7,900133000459637,900133000459638,41.6,42,42.3
2,7,900133000459639,900133000459640,41.6,40.8,39.8
1,8,900133000459642,900133000459643,39.4,39.3,39.9
2,8,900133000459644,900133000459645,37.6,37.7,37.8
