cantimestamp;datetimestamp;deviceid;antennaID;data
2857767585;28.09.2021 23:59:14:208;1;2;900133000459637
2858406439;28.09.2021 23:59:14:634;1;2;900133000459638
2858799777;28.09.2021 23:59:14:896;1;1;900133000459637
2859991311;28.09.2021 23:59:15:690;1;1;900133000459638
2860242538;28.09.2021 23:59:15:857;2;2;900133000459712
2860357952;28.09.2021 23:59:15:934;2;2;900133000459713
2860488040;28.09.2021 23:59:16:022;2;1;900133000459712
2860588454;28.09.2021 23:59:16:088;2;2;900133000459633
2860741439;28.09.2021 23:59:16:189;2;2;900133000459634
2860800358;28.09.2021 23:59:16:229;2;1;900133000459713
2861325094;28.09.2021 23:59:16:579;2;1;900133000459633
2861326521;28.09.2021 23:59:16:580;2;2;900133000459633
2878783708;28.09.2021 23:59:28:218;19;1;900133000459644
2879031059;28.09.2021 23:59:28:384;19;1;900133000459645
2879226053;28.09.2021 23:59:28:513;19;2;900133000459644
2879522531;28.09.2021 23:59:28:711;19;2;900133000459645
2883147125;28.09.2021 23:59:31:128;1;1;900133000459637
2885069466;28.09.2021 23:59:32:409;1;1;900133000459637
2898855947;28.09.2021 23:59:41:600;1;1;900133000459637
2899382831;28.09.2021 23:59:41:952;1;1;900133000459638
2901018575;28.09.2021 23:59:43:042;1;2;900133000459637
2905786218;28.09.2021 23:59:46:221;1;2;900133000459637
2905972693;28.09.2021 23:59:46:345;1;2;900133000459638
2908243705;28.09.2021 23:59:47:859;1;2;900133000459637
2910541540;28.09.2021 23:59:49:391;1;1;900133000459638
2910947766;28.09.2021 23:59:49:662;1;1;900133000459637
2923344707;28.09.2021 23:59:57:927;1;1;900133000459637
2925543028;28.09.2021 23:59:59:392;1;1;900133000459638
2925900596;28.09.2021 23:59:59:631;1;2;900133000459637
2927829049;29.09.2021 00:00:00:916;1;2;900133000459638
2929783975;29.09.2021 00:00:02:220;1;2;900133000459637
2931144584;29.09.2021 00:00:03:127;1;1;900133000459638
2931750173;29.09.2021 00:00:03:531;1;1;900133000459637
2940912053;29.09.2021 00:00:09:639;1;1;900133000459637
2941463511;29.09.2021 00:00:10:007;1;1;900133000459638
2941649267;29.09.2021 00:00:10:131;1;2;900133000459637
2942828998;29.09.2021 00:00:10:918;1;2;900133000459637
2946908935;29.09.2021 00:00:13:637;1;2;900133000459638
2953151070;29.09.2021 00:00:17:800;1;2;900133000459638
2964225178;29.09.2021 00:00:25:182;1;2;900133000459637
2964683532;29.09.2021 00:00:25:487;1;2;900133000459638
2964953982;29.09.2021 00:00:25:668;1;1;900133000459637
2965131277;29.09.2021 00:00:25:786;1;1;900133000459638
2968257509;29.09.2021 00:00:27:870;18;1;900133000459644
2968355870;29.09.2021 00:00:27:935;18;2;900133000459644
2969073188;29.09.2021 00:00:28:413;18;1;900133000459645
2969269227;29.09.2021 00:00:28:544;18;2;900133000459645
2969690921;29.09.2021 00:00:28:826;18;2;900133000459644
2971434248;29.09.2021 00:00:29:988;18;2;900133000459645
2973270032;29.09.2021 00:00:31:212;18;1;900133000459631
2975318081;29.09.2021 00:00:32:577;1;1;900133000459637
2976044303;29.09.2021 00:00:33:061;1;2;900133000459637
2979201915;29.09.2021 00:00:35:167;1;2;900133000459638
2985952461;29.09.2021 00:00:39:667;18;2;900133000459644
2986493071;29.09.2021 00:00:40:028;18;1;900133000459644
2987006934;29.09.2021 00:00:40:370;18;2;900133000459645
2987572383;29.09.2021 00:00:40:747;18;1;900133000459644
