"Cage","winner","loser","score","cohort","date","hrs","min","sec"
"Cage 1",8,1,1,1,2021-09-27,11,6,35
"Cage 2",1,6,1,1,2021-09-27,11,7,5
"Cage 2",4,1,0.5,1,2021-09-27,11,8,6
"Cage 1",1,6,1,1,2021-09-27,11,8,20
"Cage 2",1,4,1,1,2021-09-27,11,8,31
"Cage 5",3,1,1,1,2021-09-27,11,10,48
"Cage 2",1,6,1,1,2021-09-27,11,10,57
"Cage 6",7,8,0.5,1,2021-09-27,11,11,41
"Cage 6",7,4,1,1,2021-09-27,11,12,16
"Cage 4",8,4,1,1,2021-09-27,11,12,49
"Cage 1",1,3,1,1,2021-09-27,11,13,7
"Cage 4",7,6,1,1,2021-09-27,11,13,54
"Cage 2",1,6,1,1,2021-09-27,11,14,40
"Cage 2",4,1,0.5,1,2021-09-27,11,14,58
"Cage 2",7,4,1,1,2021-09-27,11,16,1
"Cage 1",1,7,1,1,2021-09-27,11,17,24
"Cage 4",7,4,1,1,2021-09-27,11,19,31
"Cage 3",7,3,1,1,2021-09-27,11,21,36
"Cage 6",7,3,1,1,2021-09-27,11,22,3
"Cage 4",7,1,1,1,2021-09-27,11,23,44
"Cage 4",1,8,1,1,2021-09-27,11,23,54
"Cage 5",6,3,1,1,2021-09-27,11,25,23
"Cage 1",8,1,1,1,2021-09-27,11,26,5
"Cage 5",8,4,1,1,2021-09-27,11,26,21
"Cage 5",7,6,1,1,2021-09-27,11,26,39
"Cage 6",8,1,1,1,2021-09-27,11,28,22
"Cage 6",8,7,0.5,1,2021-09-27,11,29,15
"Cage 3",7,1,1,1,2021-09-27,11,33,12
"Cage 1",8,7,1,1,2021-09-27,11,33,36
"Cage 2",7,6,1,1,2021-09-27,11,33,46
"Cage 1",7,4,1,1,2021-09-27,11,35,47
"Cage 1",7,4,1,1,2021-09-27,11,37,40
"Cage 2",7,6,1,1,2021-09-27,11,38,47
"Cage 2",7,3,1,1,2021-09-27,11,40,6
"Cage 5",8,1,1,1,2021-09-27,11,43,14
"Cage 6",7,1,1,1,2021-09-27,11,43,29
"Cage 2",7,4,1,1,2021-09-27,11,44,41
"Cage 2",7,6,1,1,2021-09-27,11,44,53
"Cage 6",3,1,1,1,2021-09-27,11,45,54
"Cage 3",8,3,1,1,2021-09-27,11,46,14
"Cage 1",7,8,1,1,2021-09-27,11,47,28
"Cage 2",7,4,1,1,2021-09-27,11,47,40
"Cage 4",7,4,1,1,2021-09-27,11,47,50
"Cage 5",7,3,1,1,2021-09-27,11,48,31
"Cage 5",1,4,1,1,2021-09-27,11,50,0
"Cage 6",1,8,1,1,2021-09-27,11,51,13
"Cage 5",1,4,1,1,2021-09-27,11,51,41
"Cage 6",7,4,1,1,2021-09-27,11,52,57
"Cage 6",7,4,1,1,2021-09-27,11,53,8
"Cage 6",8,6,1,1,2021-09-27,11,54,47
"Cage 1",7,4,1,1,2021-09-27,11,55,38
"Cage 4",4,3,1,1,2021-09-27,11,56,29
"Cage 5",7,4,1,1,2021-09-27,11,59,12
"Cage 5",1,8,1,1,2021-09-27,11,59,25
"Cage 2",7,4,1,1,2021-09-27,13,12,14
"Cage 3",7,6,0.5,1,2021-09-27,13,14,27
"Cage 4",7,6,1,1,2021-09-27,13,14,42
"Cage 4",7,4,1,1,2021-09-27,13,17,15
"Cage 5",7,4,1,1,2021-09-27,13,17,25
"Cage 6",1,4,1,1,2021-09-27,13,20,30
"Cage 6",7,4,1,1,2021-09-27,13,21,11
"Cage 2",7,1,1,1,2021-09-27,13,21,40
"Cage 3",7,8,1,1,2021-09-27,13,23,1
"Cage 1",7,8,1,1,2021-09-27,13,38,10
"Cage 1",7,8,1,1,2021-09-27,13,38,24
"Cage 4",4,8,1,1,2021-09-27,13,39,38
"Cage 5",4,6,1,1,2021-09-27,13,40,37
"Cage 3",4,6,1,1,2021-09-27,13,41,31
"Cage 5",7,4,1,1,2021-09-27,13,43,37
"Cage 5",4,8,1,1,2021-09-27,13,45,43
"Cage 3",7,4,1,1,2021-09-27,13,46,5
"Cage 2",7,4,1,1,2021-09-27,13,49,51
"Cage 4",7,4,1,1,2021-09-27,13,51,22
"Cage 4",4,8,1,1,2021-09-27,13,53,18
"Cage 3",7,4,1,1,2021-09-27,13,53,56
"Cage 5",4,8,1,1,2021-09-27,13,55,43
"Cage 2",7,8,1,1,2021-09-27,13,56,6
