cohort ,mouse,section ,area,Number,Trajectory,Images,Accepted,Pixels,Area [px²],Intensity Average,CRH Count Inside,TRH Count Inside,GHRH Count Inside,Kiss1 Count Inside,LepRb Count Inside,AgRP Count Inside,NPY Count Inside,Ghrl Count Inside,POMC Count Inside,INR Count Inside,GHSR1a Count Inside,MC4R Count Inside,CRH Count Touching,TRH Count Touching,GHRH Count Touching,Kiss1 Count Touching,LepRb Count Touching,AgRP Count Touching,NPY Count Touching,Ghrl Count Touching,POMC Count Touching,INR Count Touching,GHSR1a Count Touching,MC4R Count Touching,CRH Area Percent [%],TRH Area Percent [%],CRH Area [px²],TRH Area [px²],CRH Area Fraction,TRH Area Fraction,CRH Intensity Average,TRH Intensity Average,CRH Integrated Intensity,TRH Integrated Intensity,CRH Intensity Variance,TRH Intensity Variance,CRH Intensity Maximum,TRH Intensity Maximum,CRH Intensity Minimum,TRH Intensity Minimum,CRH Intensity Average (Processed),TRH Intensity Average (Processed),CRH Integrated Intensity (Processed),TRH Integrated Intensity (Processed),CRH Intensity Variance (Processed),TRH Intensity Variance (Processed),X FCP,Y FCP,X Centroid,Y Centroid
5,6,1,A,1,0.000,5_6_section1_Registered,1.000,10.000,10.000,168.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,80.000,0.000,8.000,0.000,0.800,0.000,251.000,0.000,2008.000,0.000,0.000,0.000,251.000,0.000,251.000,0.000,251.000,0.000,2008.000,0.000,0.000,0.000,523.000,21.000,521.600,19.900
5,6,1,A,2,0.000,5_6_section1_Registered,1.000,12.000,12.000,88.500,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,75.000,0.000,9.000,0.000,0.750,0.000,252.000,0.000,2268.000,0.000,0.000,0.000,252.000,0.000,252.000,0.000,252.000,0.000,2268.000,0.000,0.000,0.000,562.000,34.000,561.833,32.167
5,6,1,A,3,0.000,5_6_section1_Registered,1.000,21.000,21.000,85.048,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.476,0.000,19.000,0.000,0.905,0.000,239.158,0.000,4544.000,0.000,315.363,0.000,252.000,0.000,203.000,0.000,239.158,0.000,4544.000,0.000,315.363,0.000,556.000,49.000,555.667,46.048
5,6,1,A,4,0.000,5_6_section1_Registered,1.000,61.000,61.000,112.672,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.525,0.000,54.000,0.000,0.885,0.000,250.815,0.000,13544.000,0.000,24.116,0.000,252.000,0.000,227.000,0.000,250.815,0.000,13544.000,0.000,24.116,0.000,588.000,60.000,589.164,52.607
5,6,1,A,5,0.000,5_6_section1_Registered,1.000,13.000,13.000,90.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,13.000,0.000,1.000,0.000,242.462,0.000,3152.000,0.000,145.269,0.000,251.000,0.000,218.000,0.000,242.462,0.000,3152.000,0.000,145.269,0.000,534.000,59.000,534.154,55.692
5,6,1,A,6,0.000,5_6_section1_Registered,1.000,58.000,58.000,106.500,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,5.172,0.000,3.000,0.000,0.052,0.000,249.000,0.000,747.000,0.000,0.000,0.000,249.000,0.000,249.000,0.000,249.000,0.000,747.000,0.000,0.000,0.000,459.000,65.000,460.362,59.759
5,6,1,A,7,0.000,5_6_section1_Registered,1.000,13.000,13.000,90.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61.538,0.000,8.000,0.000,0.615,0.000,250.750,0.000,2006.000,0.000,0.500,0.000,251.000,0.000,249.000,0.000,250.750,0.000,2006.000,0.000,0.500,0.000,563.000,65.000,564.231,63.308
5,6,1,A,8,0.000,5_6_section1_Registered,1.000,13.000,13.000,100.923,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,453.000,70.000,454.077,67.615
5,6,1,A,9,0.000,5_6_section1_Registered,1.000,17.000,17.000,92.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.824,0.000,10.000,0.000,0.588,0.000,250.400,0.000,2504.000,0.000,3.600,0.000,251.000,0.000,245.000,0.000,250.400,0.000,2504.000,0.000,3.600,0.000,563.000,70.000,564.118,67.647
5,6,1,A,10,0.000,5_6_section1_Registered,1.000,38.000,38.000,138.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,71.053,0.000,27.000,0.000,0.711,0.000,251.000,0.000,6777.000,0.000,0.000,0.000,251.000,0.000,251.000,0.000,251.000,0.000,6777.000,0.000,0.000,0.000,568.000,77.000,568.237,72.868
