cohort,mouse,section ,area,Number,Trajectory,Images,Accepted,Pixels,Area [px²],Intensity Average,CRH Count Inside,TRH Count Inside,GHRH Count Inside,Kiss1 Count Inside,LepRb Count Inside,AgRP Count Inside,NPY Count Inside,Ghrl Count Inside,POMC Count Inside,INR Count Inside,GHSR1a Count Inside,MC4R Count Inside,CRH Count Touching,TRH Count Touching,GHRH Count Touching,Kiss1 Count Touching,LepRb Count Touching,AgRP Count Touching,NPY Count Touching,Ghrl Count Touching,POMC Count Touching,INR Count Touching,GHSR1a Count Touching,MC4R Count Touching,CRH Area Percent [%],TRH Area Percent [%],CRH Area [px²],TRH Area [px²],CRH Area Fraction,TRH Area Fraction,CRH Intensity Average,TRH Intensity Average,CRH Integrated Intensity,TRH Integrated Intensity,CRH Intensity Variance,TRH Intensity Variance,CRH Intensity Maximum,TRH Intensity Maximum,CRH Intensity Minimum,TRH Intensity Minimum,CRH Intensity Average (Processed),TRH Intensity Average (Processed),CRH Integrated Intensity (Processed),TRH Integrated Intensity (Processed),CRH Intensity Variance (Processed),TRH Intensity Variance (Processed),X FCP,Y FCP,X Centroid,Y Centroid
5,6,2,A,1,0.000,5_6_section2_Registered,1.000,14.000,14.000,191.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,14.000,0.000,1.000,0.000,252.643,0.000,3537.000,0.000,0.247,0.000,253.000,0.000,252.000,0.000,252.643,0.000,3537.000,0.000,0.247,0.000,488.000,36.000,487.714,33.429
5,6,2,A,2,0.000,5_6_section2_Registered,1.000,13.000,13.000,176.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,13.000,0.000,1.000,0.000,253.000,0.000,3289.000,0.000,0.000,0.000,253.000,0.000,253.000,0.000,253.000,0.000,3289.000,0.000,0.000,0.000,468.000,44.000,468.000,41.692
5,6,2,A,3,0.000,5_6_section2_Registered,1.000,17.000,17.000,136.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,17.000,0.000,1.000,0.000,252.000,0.000,4284.000,0.000,0.000,0.000,252.000,0.000,252.000,0.000,252.000,0.000,4284.000,0.000,0.000,0.000,499.000,46.000,497.765,43.118
5,6,2,A,4,0.000,5_6_section2_Registered,1.000,11.000,11.000,219.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,11.000,0.000,1.000,0.000,253.000,0.000,2783.000,0.000,0.000,0.000,253.000,0.000,253.000,0.000,253.000,0.000,2783.000,0.000,0.000,0.000,457.000,53.000,457.636,51.273
5,6,2,A,5,0.000,5_6_section2_Registered,1.000,10.000,10.000,155.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,10.000,0.000,1.000,0.000,252.000,0.000,2520.000,0.000,0.000,0.000,252.000,0.000,252.000,0.000,252.000,0.000,2520.000,0.000,0.000,0.000,516.000,58.000,516.100,56.100
5,6,2,A,6,0.000,5_6_section2_Registered,1.000,20.000,20.000,145.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,20.000,0.000,1.000,0.000,252.000,0.000,5040.000,0.000,0.000,0.000,252.000,0.000,252.000,0.000,252.000,0.000,5040.000,0.000,0.000,0.000,510.000,62.000,509.400,58.700
5,6,2,A,7,0.000,5_6_section2_Registered,1.000,13.000,13.000,191.769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,13.000,0.000,1.000,0.000,252.000,0.000,3276.000,0.000,0.000,0.000,252.000,0.000,252.000,0.000,252.000,0.000,3276.000,0.000,0.000,0.000,443.000,69.000,445.154,66.615
5,6,2,A,8,0.000,5_6_section2_Registered,1.000,10.000,10.000,128.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,10.000,0.000,1.000,0.000,251.000,0.000,2510.000,0.000,0.000,0.000,251.000,0.000,251.000,0.000,251.000,0.000,2510.000,0.000,0.000,0.000,518.000,68.000,517.200,66.500
5,6,2,A,9,0.000,5_6_section2_Registered,1.000,14.000,14.000,193.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,14.000,0.000,1.000,0.000,252.000,0.000,3528.000,0.000,0.000,0.000,252.000,0.000,252.000,0.000,252.000,0.000,3528.000,0.000,0.000,0.000,457.000,72.000,456.714,69.571
5,6,2,A,10,0.000,5_6_section2_Registered,1.000,21.000,21.000,161.619,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,21.000,0.000,1.000,0.000,251.762,0.000,5287.000,0.000,0.190,0.000,252.000,0.000,251.000,0.000,251.762,0.000,5287.000,0.000,0.190,0.000,497.000,75.000,496.143,72.190
