cohort,mouse,section,area,Number,Trajectory,Images,Accepted,Area [px²],Intensity Average,CRH Count Inside,TRH Count Inside,GHRH Count Inside,Kiss1 Count Inside,LepRb Count Inside,AgRP Count Inside,NPY Count Inside,Ghrl Count Inside,POMC Count Inside,INR Count Inside,GHSR1a Count Inside,MC4R Count Inside,CRH Count Touching,TRH Count Touching,GHRH Count Touching,Kiss1 Count Touching,LepRb Count Touching,AgRP Count Touching,NPY Count Touching,Ghrl Count Touching,POMC Count Touching,INR Count Touching,GHSR1a Count Touching,MC4R Count Touching,CRH Area Percent [%],TRH Area Percent [%],CRH Area [px²],TRH Area [px²],CRH Area Fraction,TRH Area Fraction,CRH Intensity Average,TRH Intensity Average,CRH Integrated Intensity,TRH Integrated Intensity,CRH Intensity Variance,TRH Intensity Variance,CRH Intensity Maximum,TRH Intensity Maximum,CRH Intensity Minimum,TRH Intensity Minimum,CRH Intensity Average (Processed),TRH Intensity Average (Processed),CRH Integrated Intensity (Processed),TRH Integrated Intensity (Processed),CRH Intensity Variance (Processed),TRH Intensity Variance (Processed),X FCP,Y FCP,X Centroid,Y Centroid,ClassifierUser
8,6,1,M,1,0.000,8_6_section2_Registered,1.000,25.000,248.800,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,88.000,0.000,22.000,0.000,0.880,0.000,250.273,0.000,5506.000,0.000,93.922,0.000,253.000,0.000,209.000,0.000,250.273,0.000,5506.000,0.000,93.922,0.000,565.000,312.000,566.240,309.880,none
8,6,1,M,2,0.000,8_6_section2_Registered,1.000,10.000,240.600,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,70.000,0.000,7.000,0.000,0.700,0.000,244.143,0.000,1709.000,0.000,167.476,0.000,254.000,0.000,219.000,0.000,244.143,0.000,1709.000,0.000,167.476,0.000,584.000,312.000,582.500,311.000,none
8,6,1,M,3,0.000,8_6_section2_Registered,1.000,11.000,228.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.545,0.000,6.000,0.000,0.545,0.000,220.333,0.000,1322.000,0.000,604.267,0.000,251.000,0.000,199.000,0.000,220.333,0.000,1322.000,0.000,604.267,0.000,540.000,319.000,539.364,317.545,none
8,6,1,M,4,0.000,8_6_section2_Registered,1.000,23.000,247.348,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.609,0.000,19.000,0.000,0.826,0.000,248.105,0.000,4714.000,0.000,201.877,0.000,255.000,0.000,207.000,0.000,248.105,0.000,4714.000,0.000,201.877,0.000,625.000,323.000,623.870,320.783,none
8,6,1,M,5,0.000,8_6_section2_Registered,1.000,22.000,245.500,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.727,0.000,16.000,0.000,0.727,0.000,250.250,0.000,4004.000,0.000,126.333,0.000,255.000,0.000,215.000,0.000,250.250,0.000,4004.000,0.000,126.333,0.000,637.000,324.000,636.500,321.045,none
8,6,1,M,6,0.000,8_6_section2_Registered,1.000,18.000,245.778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,88.889,0.000,16.000,0.000,0.889,0.000,245.375,0.000,3926.000,0.000,51.983,0.000,248.000,0.000,225.000,0.000,245.375,0.000,3926.000,0.000,51.983,0.000,485.000,322.000,486.833,320.500,none
8,6,1,M,7,0.000,8_6_section2_Registered,1.000,11.000,231.636,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.636,0.000,7.000,0.000,0.636,0.000,245.143,0.000,1716.000,0.000,47.476,0.000,249.000,0.000,232.000,0.000,245.143,0.000,1716.000,0.000,47.476,0.000,504.000,327.000,503.636,325.273,none
8,6,1,M,8,0.000,8_6_section2_Registered,1.000,17.000,240.647,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.706,0.000,11.000,0.000,0.647,0.000,243.636,0.000,2680.000,0.000,124.455,0.000,247.000,0.000,210.000,0.000,243.636,0.000,2680.000,0.000,124.455,0.000,475.000,329.000,473.000,327.000,none
8,6,1,M,9,0.000,8_6_section2_Registered,1.000,11.000,235.545,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,63.636,0.000,7.000,0.000,0.636,0.000,230.143,0.000,1611.000,0.000,304.476,0.000,255.000,0.000,207.000,0.000,230.143,0.000,1611.000,0.000,304.476,0.000,602.000,330.000,600.636,328.364,none
8,6,1,M,10,0.000,8_6_section2_Registered,1.000,16.000,227.563,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,8.000,0.000,0.500,0.000,247.625,0.000,1981.000,0.000,192.268,0.000,255.000,0.000,219.000,0.000,247.625,0.000,1981.000,0.000,192.268,0.000,676.000,333.000,675.500,330.375,none
8,6,1,M,11,0.000,8_6_section2_Registered,1.000,11.000,225.636,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.182,0.000,2.000,0.000,0.182,0.000,229.000,0.000,458.000,0.000,0.000,0.000,229.000,0.000,229.000,0.000,229.000,0.000,458.000,0.000,0.000,0.000,612.000,335.000,611.636,332.545,none
8,6,1,M,12,0.000,8_6_section2_Registered,1.000,13.000,234.615,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.923,0.000,10.000,0.000,0.769,0.000,238.000,0.000,2380.000,0.000,206.000,0.000,246.000,0.000,204.000,0.000,238.000,0.000,2380.000,0.000,206.000,0.000,453.000,338.000,453.462,335.385,none
8,6,1,M,13,0.000,8_6_section2_Registered,1.000,18.000,241.778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,72.222,0.000,13.000,0.000,0.722,0.000,246.846,0.000,3209.000,0.000,0.308,0.000,247.000,0.000,245.000,0.000,246.846,0.000,3209.000,0.000,0.308,0.000,468.000,338.000,466.333,336.167,none
8,6,1,M,14,0.000,8_6_section2_Registered,1.000,10.000,235.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,6.000,0.000,0.600,0.000,246.000,0.000,1476.000,0.000,6.000,0.000,247.000,0.000,241.000,0.000,246.000,0.000,1476.000,0.000,6.000,0.000,475.000,336.000,473.700,334.800,none
8,6,1,M,15,0.000,8_6_section2_Registered,1.000,23.000,247.217,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.261,0.000,18.000,0.000,0.783,0.000,244.833,0.000,4407.000,0.000,294.971,0.000,255.000,0.000,209.000,0.000,244.833,0.000,4407.000,0.000,294.971,0.000,686.000,340.000,686.087,337.565,none
8,6,1,M,16,0.000,8_6_section2_Registered,1.000,18.000,243.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.222,0.000,13.000,0.000,0.722,0.000,247.000,0.000,3211.000,0.000,0.000,0.000,247.000,0.000,247.000,0.000,247.000,0.000,3211.000,0.000,0.000,0.000,463.000,341.000,461.889,338.722,none
8,6,1,M,17,0.000,8_6_section2_Registered,1.000,19.000,231.263,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,63.158,0.000,12.000,0.000,0.632,0.000,245.833,0.000,2950.000,0.000,9.061,0.000,247.000,0.000,237.000,0.000,245.833,0.000,2950.000,0.000,9.061,0.000,473.000,340.000,472.158,338.211,none
