cohort,mouse,side,section,area ,Number,Trajectory,Accepted,Pixels,Area [px²],Intensity Average,CRH Count Inside,TRH Count Inside,GHRH Count Inside,Kiss1 Count Inside,LepRb Count Inside,AgRP Count Inside,NPY Count Inside,Ghrl Count Inside,POMC Count Inside,INR Count Inside,GHSR1a Count Inside,MC4R Count Inside,CRH Count Touching,TRH Count Touching,GHRH Count Touching,Kiss1 Count Touching,LepRb Count Touching,AgRP Count Touching,NPY Count Touching,Ghrl Count Touching,POMC Count Touching,INR Count Touching,GHSR1a Count Touching,MC4R Count Touching,CRH Area Percent [%],TRH Area Percent [%],CRH Area [px²],TRH Area [px²],CRH Area Fraction,TRH Area Fraction,CRH Intensity Average,TRH Intensity Average,CRH Integrated Intensity,TRH Integrated Intensity,CRH Intensity Variance,TRH Intensity Variance,CRH Intensity Maximum,TRH Intensity Maximum,CRH Intensity Minimum,TRH Intensity Minimum,CRH Intensity Average (Processed),TRH Intensity Average (Processed),CRH Integrated Intensity (Processed),TRH Integrated Intensity (Processed),CRH Intensity Variance (Processed),TRH Intensity Variance (Processed),X FCP,Y FCP,X Centroid,Y Centroid
1,6,left,1,M,2516646,0,2243,40312,40312,220413.1565,25,41,5,19,127,3,3,22,0,5,2,17,26,128,16,27,175,5,8,38,1,9,2,21,154.9200504,3735.275989,26,697,1.549200504,37.35275989,875,11637.03284,875,106531,0,160244.3051,875,14571,875,7526,875,11637.03284,875,106531,0,160244.3051,736826,796816,735238.8193,791811.7297
1,6,right,1,M,1521640,0,1744,31147,31147,200840.5918,0,6,0,5,14,0,9,0,0,1,5,6,0,27,0,5,14,0,14,0,0,1,8,8,0,724.1639556,0,129,0,7.241639556,0,2599.781385,0,16269,0,16018.0925,0,3100,0,2033,0,2599.781385,0,16269,0,16018.0925,1064564,465106,1063653.55,461150.0712
1,6,left,2,M,15232440,0,5519,222842,222842,353337.5717,0,17,12,14,13,5,0,11,0,11,10,8,1,74,46,21,21,9,4,21,0,48,23,15,4.166666667,2202.22208,4,986,0.041666667,22.0222208,173.5,10807.04718,694,197927,3477.666667,18559.56858,245,11797,118,9618,173.5,10807.04718,694,197927,3477.666667,18559.56858,13605698,8629430,13601325.84,8611169.817
1,6,right,2,M,1495585,0,1729,31086,31086,224388.961,0,11,0,0,20,1,1,9,0,0,0,1,0,18,0,0,25,1,2,14,0,0,0,1,0,381.472,0,68,0,3.815,0,2789.244,0,12195,0,9282.578,0,3137,0,2443,0,2789.244,0,12195,0,9282.578,1205677,677431,1204449.95,673568.829
3,7,left,1,M,1846081,0,1921,150309,150309,378148.498,14,15,0,0,16,0,0,80,1,6,0,3,50,200,4,6,32,6,0,177,3,30,13,18,905.33,10238.631,800,7606,9.053,102.386,4134.021,39786.801,109914,1786199,52998.417,84507.425,5676,42087,2617,33293,4134.021,39786.801,109914,1786199,52998.417,84507.425,5906264,4210749,5903962.74,4201648.899
3,7,right,1,M,1553203,0,1762,37311,37311,273905.015,6,26,2,0,1,1,0,1,0,0,1,1,22,132,4,1,5,8,5,14,0,0,1,4,949.094,5214.96,208,1360,9.491,52.15,3098.591,30513.167,37347,345000,40740.745,2451.227,3791,30669,1755,29943,3098.591,30513.167,37347,345000,40740.745,2451.227,1029062,608986,1027832.498,605036.074
3,7,left,2,M,302253,0,777,14099,14099,139342.98,11,4,1,1,2,2,2,19,0,7,8,14,16,51,1,1,3,2,7,166,0,221,224,131,126.318,1937.086,25,362,1.263,19.371,827.833,11243.452,1803,86301,17.367,23394.569,835,11829,818,9862,827.833,11243.452,1803,86301,17.367,23394.569,431116,194220,430537.633,192479.95
3,7,right,2,M,486591,0,986,17748,17748,179205.242,0,17,0,1,1,1,0,5,0,1,1,2,1,59,0,2,2,3,1,20,0,15,7,3,100,2187.634,17,393,1,21.876,223.647,13506.621,3802,99449,3609.493,1482.5,255,13607,74,13302,223.647,13506.621,3802,99449,3609.493,1482.5,421530,278261,420799.247,276154.111
4,2,left,1,M,89676,0,423,9694,9694,32038.278,399,5,2,0,0,0,0,1,0,6,6,8,579,28,3,0,2,2,0,3,0,12,12,11,32113.711,975.147,7291,212,321.137,9.751,54282.558,1659.648,961416,18514,1079939.674,44143.01,91279,2918,31258,739,54282.558,1659.648,961416,18514,1079939.674,44143.01,248549,102529,248210.07,101177.332
4,2,right,1,M,90100,0,424,8271,8271,35078.843,279,3,1,0,0,0,0,0,0,1,4,2,288,22,2,1,1,1,1,1,1,2,9,4,3051.74,789.197,583,125,30.517,7.892,49359.557,1656.259,140761,13266,16745.379,47354.032,50233,2610,48095,847,49359.557,1656.259,140761,13266,16745.379,47354.032,153243,65012,153009.219,63768.967
