cohort,pre_id,mouse ,back_tag,leg_tag,weight_PD1,weight_PD6,weight_GD1,weight_GH10 ,sac_time,weight_AT
1,W,1,900133000459712,900133000459713,38.5,37.4,38.3,40.6,12:51,0.483
1,B,3,900133000459649,900133000459650,34.7,34.8,35.9,,12:09,0.5
1,W,4,900133000459647,900133000459648,35.1,35.5,35.4,34.8,12:46,0.133
1,W,6,900133000459633,900133000459634,33.5,33.9,35.4,35,12:03,0.33
1,W,7,900133000459637,900133000459638,41.6,42,42.3,42.2,12:15,0.606
1,W,8,900133000459642,900133000459643,39.4,39.3,39.9,38.1,12:57,0.537
2,B,1,900133000459701,900133000459702,37.9,38.3,38.8,,12:38,0.601
2,W,3,900133000459703,900133000459704,39.5,40.3,39.4,37.5,1:13,0.44
2,B,4,900133000459631,900133000459632,37.5,38,37.8,39.7,1:07,0.82
2,B,6,900133000459635,900133000459636,36.1,36.4,38.8,36.4,1:02,0.454
2,B,7,900133000459639,900133000459640,41.6,40.8,39.8,39.9,12:23,0.543
2,B,8,900133000459644,900133000459645,37.6,37.7,37.8,37.5,12:31,0.464
3,W,2,900133000459703,900133000459633,36.2,38.2,38.8,38.8,12:47,0.848
3,B,3,900133000459704,900133000459726,36.4,36.9,37.1,36.9,12:50,0.577
3,W,4,900133000459723,900133000459648,26.8,27.9,27.8,26.8,12:15,0.136
3,W,5,900133000459693,900133000459715,38.9,39.9,39.1,38.3,12:42,0.536
3,B,6,900133000459714,900133000459694,34.4,36.2,36.7,37.8,12:02,1
3,B,7,900133000459716,900133000459645,35.3,35.9,35.5,35.7,12:09,0.475
4,B,2,900133000459728,900133000459713,40,39.4,38.8,39.6,12:32,0.398
4,W,3,900133000459721,900133000459642,35.8,36.3,36.8,36.8,12:28,0.464
4,B,4,900133000459720,900133000459725,38.4,38.9,39.6,38.8,1:02,0.503
4,B,5,900133000459729,900133000459717,35.1,36.9,36.4,36.9,12:58,0.311
4,W,6,900133000459701,900133000459650,33.4,34.7,34.8,33,1:06,0.32
4,W,7,900133000459637,900133000459635,32.7,33.9,33.9,34.9,12:22,0.449
6,W,1,900133000459634,900133000459643,36.7,38,37.8,,,
5,B,1,900133000459638,900133000459636,37.1,38.8,38.9,,,
5,W,4,900133000459719,900133000459722,30.8,30.1,30.6,,,
6,B,4,900133000459632,900133000459631,36.3,37.8,38.4,,,
5,W,5,900133000459649,900133000459730,34.5,36.8,37.1,,,
6,B,5,900133000459702,900133000459647,36.3,37.7,38.1,,,
5,W,6,900133000459711,900133000459641,38.6,40.3,39.8,,,
6,B,6,900133000459646,900133000459705,34.5,36.5,36.3,,,
5,W,7,900133000459668,900133000459669,32.7,33.7,33.8,,,
6,B,7,900133000459670,900133000459706,31.5,32.8,33.5,,,
6,W,8,900133000459708,900133000459707,36.3,36.2,35.6,,,
5,B,8,900133000459709,900133000459710,33.3,35.9,36.8,,,
