Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
1/17/2022 10:55:17,Cage 1,1,Lunge,1,Lunge,tmm,Start,
1/17/2022 10:57:45,Cage 5,8,Bite/Fight,5,"Subordinate posture, Freeze/immobility",,,
1/17/2022 10:59:16,Cage 6,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/17/2022 10:59:35,Cage 5,8,Lunge,5,Subordinate posture,,,
1/17/2022 11:00:10,Cage 5,8,Bite/Fight,5,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:00:40,Cage 3,8,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:03:00,Cage 5,5,Sniff,7,Walk away,,,
1/17/2022 11:03:24,Cage 6,8,Bite/Fight,2,Freeze/immobility,,,
1/17/2022 11:04:47,Cage 5,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:05:12,Cage 6,8,Bite/Fight,4,Freeze/immobility,,,
1/17/2022 11:06:34,Cage 5,7,"Mount, Sniff",4,Freeze/immobility,,,
1/17/2022 11:10:31,Cage 5,8,"Bite/Fight, Chase",2,"Flee, Subordinate posture, Freeze/immobility",,,
1/17/2022 11:11:13,Cage 5,2,Bite/Fight,4,Freeze/immobility,,,
1/17/2022 11:11:36,Cage 6,8,Bite/Fight,1,Flee,,,
1/17/2022 11:11:44,Cage 6,8,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:12:06,Cage 6,5,"Flee, Sniff",2,"Bite/Fight, Chase, Sniff",,,
1/17/2022 11:12:33,Cage 5,8,"Lunge, Bite/Fight",7,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:14:34,Cage 4,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:15:12,Cage 1,8,Bite/Fight,2,"Flee, Subordinate posture, Freeze/immobility",,,
1/17/2022 11:15:29,Cage 6,8,"Lunge, Bite/Fight",5,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:15:50,Cage 5,8,Bite/Fight,2,Subordinate posture,,,
1/17/2022 11:16:30,Cage 4,8,Sniff,7,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:16:53,Cage 5,8,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:20:17,Cage 5,8,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:20:27,Cage 6,8,"Bite/Fight, Chase",5,"Flee, Freeze/immobility",,,
1/17/2022 11:20:44,Cage 2,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:20:56,Cage 2,8,"Bite/Fight, Chase",1,"Flee, Subordinate posture, Freeze/immobility",,,
1/17/2022 11:21:10,Cage 6,2,Mount,5,Freeze/immobility,,,
1/17/2022 11:22:40,Cage 5,8,"Bite/Fight, Chase",1,"Flee, Freeze/immobility",,,
1/17/2022 11:23:26,Cage 5,2,Bite/Fight,5,Freeze/immobility,,,
1/17/2022 11:23:45,Cage 5,2,Bite/Fight,5,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:23:56,Cage 2,8,Bite/Fight,7,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:26:58,Cage 1,8,"Bite/Fight, Chase",7,"Flee, Freeze/immobility",,,
1/17/2022 11:28:34,Cage 6,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",Long,,
1/17/2022 11:28:55,Cage 6,8,"Bite/Fight, Chase",5,"Flee, Subordinate posture, Freeze/immobility",,,
1/17/2022 11:29:55,Cage 3,8,"Lunge, Chase",4,Flee,,,
1/17/2022 11:30:35,Cage 6,2,Bite/Fight,5,Freeze/immobility,,,
1/17/2022 11:33:48,Cage 5,2,Bite/Fight,5,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:34:23,Cage 6,8,Bite/Fight,1,Freeze/immobility,,,
1/17/2022 11:35:14,Cage 2,8,"Lunge, Bite/Fight",4,"Flee, Freeze/immobility",,,
1/17/2022 11:36:02,Cage 6,8,"Lunge, Bite/Fight",5,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:36:21,Cage 5,8,Bite/Fight,7,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:37:37,Cage 5,5,Bite/Fight,2,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:38:31,Cage 5,8,"Lunge, Bite/Fight",7,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:39:35,Cage 4,8,"Lunge, Chase",4,"Flee, Freeze/immobility",,,
1/17/2022 11:42:04,Cage 6,8,"Lunge, Sniff",4,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:42:27,Cage 5,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
1/17/2022 11:42:54,Cage 5,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
