cantimestamp;datetimestamp;deviceid;antennaID;data
2195990007;24.10.2021 23:59:12:173;19;1;900133000459635
2196235484;24.10.2021 23:59:12:338;19;2;900133000459635
2198179101;24.10.2021 23:59:13:633;21;1;900133000459642
2207797343;24.10.2021 23:59:20:046;3;1;900133000459704
2208183985;24.10.2021 23:59:20:304;3;1;900133000459726
2212213704;24.10.2021 23:59:22:990;2;2;900133000459726
2212494605;24.10.2021 23:59:23:177;2;1;900133000459704
2212498001;24.10.2021 23:59:23:180;2;2;900133000459704
2212724567;24.10.2021 23:59:23:331;2;1;900133000459726
2227097634;24.10.2021 23:59:32:913;18;1;900133000459637
2227228645;24.10.2021 23:59:33:001;18;1;900133000459635
2227392549;24.10.2021 23:59:33:109;18;2;900133000459637
2227523537;24.10.2021 23:59:33:197;18;2;900133000459635
2230864048;24.10.2021 23:59:35:424;21;2;900133000459635
2231064167;24.10.2021 23:59:35:558;21;1;900133000459637
2231208463;24.10.2021 23:59:35:654;21;1;900133000459635
2231257037;24.10.2021 23:59:35:687;21;2;900133000459635
2233482647;24.10.2021 23:59:37:170;1;2;900133000459704
2233696410;24.10.2021 23:59:37:313;1;2;900133000459726
2233935432;24.10.2021 23:59:37:472;1;1;900133000459704
2234075720;24.10.2021 23:59:37:565;1;1;900133000459726
2258212552;24.10.2021 23:59:53:657;3;1;900133000459703
2260817607;24.10.2021 23:59:55:393;3;1;900133000459703
2264115820;24.10.2021 23:59:57:593;4;1;900133000459726
2264204318;24.10.2021 23:59:57:650;4;1;900133000459716
2264596900;24.10.2021 23:59:57:913;4;2;900133000459716
2264778731;24.10.2021 23:59:58:035;4;2;900133000459645
2265588951;24.10.2021 23:59:58:574;1;1;900133000459704
2267535649;24.10.2021 23:59:59:872;8;1;900133000459714
2276173351;25.10.2021 00:00:05:631;9;1;900133000459704
2276264897;25.10.2021 00:00:05:692;9;1;900133000459726
2276676979;25.10.2021 00:00:05:967;9;1;900133000459726
2276746302;25.10.2021 00:00:06:013;9;1;900133000459714
2276892878;25.10.2021 00:00:06:110;9;2;900133000459704
2277139532;25.10.2021 00:00:06:275;9;1;900133000459694
2277170107;25.10.2021 00:00:06:296;9;2;900133000459726
2277782559;25.10.2021 00:00:06:704;4;2;900133000459693
2277847825;25.10.2021 00:00:06:746;9;2;900133000459714
2277989757;25.10.2021 00:00:06:841;9;2;900133000459694
2278009845;25.10.2021 00:00:06:855;4;1;900133000459693
2278130166;25.10.2021 00:00:06:935;4;1;900133000459715
2287372546;25.10.2021 00:00:13:097;9;2;900133000459716
2287567252;25.10.2021 00:00:13:226;9;2;900133000459645
2287976886;25.10.2021 00:00:13:500;9;1;900133000459716
2288524828;25.10.2021 00:00:13:865;9;1;900133000459645
2291152178;25.10.2021 00:00:15:617;21;1;900133000459721
2291474731;25.10.2021 00:00:15:832;21;1;900133000459642
2291742035;25.10.2021 00:00:16:010;21;2;900133000459721
2292174061;25.10.2021 00:00:16:298;21;1;900133000459642
2292175441;25.10.2021 00:00:16:299;21;2;900133000459642
2293704995;25.10.2021 00:00:17:319;21;1;900133000459637
2293767682;25.10.2021 00:00:17:360;21;1;900133000459635
2293800429;25.10.2021 00:00:17:383;21;2;900133000459635
2296393309;25.10.2021 00:00:19:111;4;1;900133000459704
2296538230;25.10.2021 00:00:19:208;4;1;900133000459714
2296926722;25.10.2021 00:00:19:466;9;1;900133000459716
2298368979;25.10.2021 00:00:20:428;21;2;900133000459637
2298418429;25.10.2021 00:00:20:462;21;1;900133000459637
2298499283;25.10.2021 00:00:20:516;9;1;900133000459645
2298518698;25.10.2021 00:00:20:528;21;2;900133000459635
2298762172;25.10.2021 00:00:20:690;21;1;900133000459637
2298911892;25.10.2021 00:00:20:790;21;1;900133000459635
2298960443;25.10.2021 00:00:20:822;21;2;900133000459635
2299663359;25.10.2021 00:00:21:291;9;2;900133000459716
2305193481;25.10.2021 00:00:24:978;4;2;900133000459716
2305537562;25.10.2021 00:00:25:207;4;1;900133000459716
2305748170;25.10.2021 00:00:25:347;4;1;900133000459645
2312077384;25.10.2021 00:00:29:568;21;1;900133000459637
2312372361;25.10.2021 00:00:29:764;21;2;900133000459637
2312530877;25.10.2021 00:00:29:869;21;1;900133000459635
2312814670;25.10.2021 00:00:30:059;21;2;900133000459637
2312924071;25.10.2021 00:00:30:131;21;2;900133000459635
2312972669;25.10.2021 00:00:30:164;21;1;900133000459635
2325520053;25.10.2021 00:00:38:529;18;1;900133000459635
2325546452;25.10.2021 00:00:38:547;18;2;900133000459637
2325792830;25.10.2021 00:00:38:712;18;1;900133000459637
2325923086;25.10.2021 00:00:38:798;18;2;900133000459635
2325925114;25.10.2021 00:00:38:799;18;1;900133000459635
2328752304;25.10.2021 00:00:40:684;19;2;900133000459637
2328866170;25.10.2021 00:00:40:760;19;2;900133000459635
2329145488;25.10.2021 00:00:40:946;19;1;900133000459637
2329308564;25.10.2021 00:00:41:054;19;1;900133000459635
2351377101;25.10.2021 00:00:55:768;19;1;900133000459637
2351502318;25.10.2021 00:00:55:850;19;1;900133000459635
2351796514;25.10.2021 00:00:56:047;19;2;900133000459635
2354032948;25.10.2021 00:00:57:539;18;1;900133000459637
2354180361;25.10.2021 00:00:57:636;18;2;900133000459637
2354358797;25.10.2021 00:00:57:755;18;1;900133000459635
2354604982;25.10.2021 00:00:57:919;18;2;900133000459637
2354752027;25.10.2021 00:00:58:017;18;2;900133000459635
2358791656;25.10.2021 00:01:00:711;4;1;900133000459714
2358951457;25.10.2021 00:01:00:817;4;1;900133000459694
2359111498;25.10.2021 00:01:00:924;9;1;900133000459704
2359261505;25.10.2021 00:01:01:024;4;2;900133000459714
2359566286;25.10.2021 00:01:01:228;4;2;900133000459694
2359719906;25.10.2021 00:01:01:330;9;1;900133000459726
2360868576;25.10.2021 00:01:02:096;17;1;900133000459637
2360997188;25.10.2021 00:01:02:180;17;1;900133000459635
2363225472;25.10.2021 00:01:03:667;16;1;900133000459637
2363374760;25.10.2021 00:01:03:767;16;1;900133000459635
2363570020;25.10.2021 00:01:03:896;16;2;900133000459637
2363816445;25.10.2021 00:01:04:061;16;1;900133000459635
2363818485;25.10.2021 00:01:04:062;16;2;900133000459635
2367170743;25.10.2021 00:01:06:297;20;1;900133000459637
2367269477;25.10.2021 00:01:06:362;20;2;900133000459637
2367419677;25.10.2021 00:01:06:463;20;1;900133000459635
2367421069;25.10.2021 00:01:06:465;20;2;900133000459635
2367613616;25.10.2021 00:01:06:593;20;2;900133000459637
2367812368;25.10.2021 00:01:06:725;20;2;900133000459635
2367862106;25.10.2021 00:01:06:758;20;1;900133000459635
2368675975;25.10.2021 00:01:07:301;4;2;900133000459714
2368927345;25.10.2021 00:01:07:469;4;2;900133000459694
2369202919;25.10.2021 00:01:07:651;4;1;900133000459694
2369284145;25.10.2021 00:01:07:706;4;1;900133000459714
2370013429;25.10.2021 00:01:08:192;4;1;900133000459694
2370479282;25.10.2021 00:01:08:503;21;1;900133000459637
2370602615;25.10.2021 00:01:08:585;4;1;900133000459694
2370705657;25.10.2021 00:01:08:653;21;2;900133000459635
2370707685;25.10.2021 00:01:08:654;21;1;900133000459635
2371019953;25.10.2021 00:01:08:863;21;2;900133000459637
2371197765;25.10.2021 00:01:08:982;21;2;900133000459635
2371352549;25.10.2021 00:01:09:085;21;1;900133000459635
2374293555;25.10.2021 00:01:11:045;21;2;900133000459635
2379022881;25.10.2021 00:01:14:199;21;1;900133000459637
2379152610;25.10.2021 00:01:14:285;21;2;900133000459635
2379157925;25.10.2021 00:01:14:289;21;1;900133000459635
2379317941;25.10.2021 00:01:14:396;21;1;900133000459637
2379693880;25.10.2021 00:01:14:646;21;2;900133000459635
2379695271;25.10.2021 00:01:14:647;21;1;900133000459635
2398952545;25.10.2021 00:01:27:485;21;1;900133000459637
2399396403;25.10.2021 00:01:27:781;21;1;900133000459635
2399640608;25.10.2021 00:01:27:945;21;2;900133000459637
2399788156;25.10.2021 00:01:28:043;21;1;900133000459637
2400035362;25.10.2021 00:01:28:207;21;2;900133000459635
2400084489;25.10.2021 00:01:28:240;21;1;900133000459635
2411037397;25.10.2021 00:01:35:542;4;1;900133000459714
2411254327;25.10.2021 00:01:35:687;4;2;900133000459714
2411377432;25.10.2021 00:01:35:769;4;2;900133000459694
2412236359;25.10.2021 00:01:36:342;3;1;900133000459716
2413278055;25.10.2021 00:01:37:036;3;1;900133000459645
2418217220;25.10.2021 00:01:40:328;17;1;900133000459637
2418444302;25.10.2021 00:01:40:479;17;1;900133000459635
2418708680;25.10.2021 00:01:40:656;17;2;900133000459637
2419180940;25.10.2021 00:01:40:972;17;2;900133000459635
2422426070;25.10.2021 00:01:43:134;2;2;900133000459716
2422720987;25.10.2021 00:01:43:331;2;1;900133000459716
2423163298;25.10.2021 00:01:43:626;2;1;900133000459716
2423310800;25.10.2021 00:01:43:725;2;2;900133000459716
2423623585;25.10.2021 00:01:43:933;2;2;900133000459645
