"data","mouse","cohort"
"900133000459712",1,1
"900133000459713",1,1
"900133000459701",1,2
"900133000459702",1,2
"900133000459703",3,2
"900133000459704",3,2
"900133000459649",3,1
"900133000459650",3,1
"900133000459647",4,1
"900133000459648",4,1
"900133000459631",4,2
"900133000459632",4,2
"900133000459633",6,1
"900133000459634",6,1
"900133000459635",6,2
"900133000459636",6,2
"900133000459637",7,1
"900133000459638",7,1
"900133000459639",7,2
"900133000459640",7,2
"900133000459642",8,1
"900133000459643",8,1
"900133000459644",8,2
"900133000459645",8,2
