Timestamp,Cage,Animal 1,Animal 1- Behavior,Animal 2,Animal 2- Behavior,Observer name/Comments,Start/End,Outside of designated observation time
9/27/2021 12:03:39,Cage 1,1,Lunge,1,Lunge,Tmm,Start,
9/27/2021 12:05:00,Cage 1,8,Bite/Fight,3,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:05:17,Cage 4,8,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:06:23,Cage 1,1,Lunge,3,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:06:42,Cage 6,8,"Bite/Fight, Sniff",7,Freeze/immobility,,,
9/27/2021 12:08:13,Cage 1,1,"Lunge, Bite/Fight",3,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:10:19,Cage 1,8,Bite/Fight,3,Freeze/immobility,,,
9/27/2021 12:10:38,Cage 1,8,"Lunge, Bite/Fight",6,"Flee, Freeze/immobility",,,
9/27/2021 12:11:30,Cage 4,6,"Bite/Fight, Sniff, Allogroom",4,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:13:11,Cage 1,8,Lunge,3,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:13:45,Cage 4,8,Bite/Fight,6,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:13:53,Cage 4,8,Bite/Fight,4,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:14:05,Cage 5,8,"Bite/Fight, Chase",6,"Flee, Freeze/immobility",,,
9/27/2021 12:16:47,Cage 3,8,"Lunge, Sniff",6,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:17:28,Cage 6,7,Sniff,6,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:18:28,Cage 6,8,"Bite/Fight, Chase",4,"Flee, Subordinate posture, Freeze/immobility",,,
9/27/2021 12:20:29,Cage 2,8,Bite/Fight,6,Freeze/immobility,,,
9/27/2021 12:21:01,Cage 1,3,Bite/Fight,4,Freeze/immobility,,,
9/27/2021 12:22:35,Cage 4,8,Sniff,7,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:22:46,Cage 5,8,Bite/Fight,1,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:23:05,Cage 1,8,Bite/Fight,3,Subordinate posture,,,
9/27/2021 12:23:19,Cage 2,8,"Bite/Fight, Chase",7,"Flee, Freeze/immobility",,,
9/27/2021 12:23:39,Cage 1,8,Bite/Fight,3,Subordinate posture,,,
9/27/2021 12:24:28,Cage 4,6,Lunge,4,Freeze/immobility,,,
9/27/2021 12:24:38,Cage 4,8,Bite/Fight,6,"Subordinate posture, Freeze/immobility",,,
9/27/2021 12:25:11,Cage 6,8,Bite/Fight,7,Subordinate posture,,,
9/27/2021 12:27:02,Cage 2,8,Bite/Fight,3,"Flee, Freeze/immobility",,,
9/27/2021 12:28:11,Cage 3,8,"Lunge, Bite/Fight",1,"Subordinate posture, Freeze/immobility",8 is a psycho,,
9/27/2021 12:29:23,Cage 1,8,Bite/Fight,3,Freeze/immobility,,,
9/27/2021 12:30:14,Cage 1,4,Sniff,3,Subordinate posture,,,
