cantimestamp;datetimestamp;deviceid;antennaID;data
1541096125;02.10.2021 23:59:09:076;19;2;900133000459639
1541372814;02.10.2021 23:59:09:260;19;2;900133000459640
1542277459;02.10.2021 23:59:09:864;1;1;900133000459637
1544678608;02.10.2021 23:59:11:464;20;1;900133000459644
1544889419;02.10.2021 23:59:11:606;20;1;900133000459645
1544973524;02.10.2021 23:59:11:661;20;2;900133000459644
1545023360;02.10.2021 23:59:11:695;20;1;900133000459644
1545233366;02.10.2021 23:59:11:834;20;2;900133000459645
1545282601;02.10.2021 23:59:11:867;20;1;900133000459645
1548626736;02.10.2021 23:59:14:097;18;1;900133000459639
1548675850;02.10.2021 23:59:14:130;18;2;900133000459639
1548981554;02.10.2021 23:59:14:334;18;1;900133000459640
1549079183;02.10.2021 23:59:14:399;18;2;900133000459640
1549507189;02.10.2021 23:59:14:684;18;2;900133000459639
1549605514;02.10.2021 23:59:14:750;18;1;900133000459639
1550167400;02.10.2021 23:59:15:124;18;2;900133000459640
1550216633;02.10.2021 23:59:15:157;18;1;900133000459640
1565781866;02.10.2021 23:59:25:534;19;2;900133000459703
1565888903;02.10.2021 23:59:25:605;19;2;900133000459704
1566125933;02.10.2021 23:59:25:764;19;1;900133000459703
1566282073;02.10.2021 23:59:25:868;19;1;900133000459704
1568662010;02.10.2021 23:59:27:454;21;2;900133000459635
1569251687;02.10.2021 23:59:27:847;21;1;900133000459635
1569399295;02.10.2021 23:59:27:946;21;2;900133000459635
1570316288;02.10.2021 23:59:28:558;21;1;900133000459636
1570561454;02.10.2021 23:59:28:720;21;2;900133000459636
1572255859;02.10.2021 23:59:29:850;21;2;900133000459701
1572532247;02.10.2021 23:59:30:034;21;2;900133000459702
1572834544;02.10.2021 23:59:30:236;21;1;900133000459701
1572932773;02.10.2021 23:59:30:302;21;2;900133000459701
1573196335;02.10.2021 23:59:30:478;21;2;900133000459639
1573492343;02.10.2021 23:59:30:675;21;1;900133000459702
1573507871;02.10.2021 23:59:30:685;21;2;900133000459640
1573869865;02.10.2021 23:59:30:926;21;1;900133000459639
1574213488;02.10.2021 23:59:31:156;21;2;900133000459639
1574415766;02.10.2021 23:59:31:290;21;1;900133000459640
1574417158;02.10.2021 23:59:31:290;21;2;900133000459640
1574501551;02.10.2021 23:59:31:347;1;2;900133000459649
