cantimestamp;datetimestamp;deviceid;antennaID;data
8969977;04.06.2021 11:08:09:792;17;2;900133000459723
9763364;04.06.2021 11:08:10:315;17;2;
9818886;04.06.2021 11:08:10:352;17;2;900133000459727
10247875;04.06.2021 11:08:10:638;17;1;900133000459723
10267878;04.06.2021 11:08:10:651;17;2;
10893158;04.06.2021 11:08:11:068;17;1;
11244209;04.06.2021 11:08:11:302;17;1;900133000459727
13356787;04.06.2021 11:08:12:710;17;2;900133000459722
13755682;04.06.2021 11:08:12:976;17;2;
13905715;04.06.2021 11:08:13:081;17;2;900133000459721
14100817;04.06.2021 11:08:13:206;17;1;
14501128;04.06.2021 11:08:13:473;17;2;
15510648;04.06.2021 11:08:14:147;17;1;900133000459722
15811625;04.06.2021 11:08:14:346;17;1;
15886911;04.06.2021 11:08:14:398;17;1;900133000459721
15949405;04.06.2021 11:08:14:440;17;2;900133000459724
16385413;04.06.2021 11:08:14:730;17;1;
16594449;04.06.2021 11:08:14:869;17;2;
16628841;04.06.2021 11:08:14:892;17;2;900133000459725
17028144;04.06.2021 11:08:15:158;17;2;
17325603;04.06.2021 11:08:15:356;17;1;900133000459724
17756993;04.06.2021 11:08:15:644;19;2;900133000459723
17886770;04.06.2021 11:08:15:731;17;1;
17888198;04.06.2021 11:08:15:732;17;1;900133000459725
18527998;04.06.2021 11:08:16:158;19;2;
18529438;04.06.2021 11:08:16:159;19;2;900133000459727
18532869;04.06.2021 11:08:16:161;17;1;
19823383;04.06.2021 11:08:17:023;19;1;900133000459723
19862850;04.06.2021 11:08:17:048;19;2;
20600571;04.06.2021 11:08:17:540;19;1;
20602011;04.06.2021 11:08:17:541;19;1;900133000459727
21770854;04.06.2021 11:08:18:320;19;2;900133000459724
22268542;04.06.2021 11:08:18:652;19;2;
22269982;04.06.2021 11:08:18:652;19;2;900133000459725
22622990;04.06.2021 11:08:18:888;19;1;
22718124;04.06.2021 11:08:18:951;19;2;
22818753;04.06.2021 11:08:19:018;19;1;900133000459724
23249723;04.06.2021 11:08:19:306;19;1;
23251163;04.06.2021 11:08:19:306;19;1;900133000459725
23650047;04.06.2021 11:08:19:574;19;1;
24097312;04.06.2021 11:08:19:872;3;1;900133000459719
24742117;04.06.2021 11:08:20:300;3;1;
24955028;04.06.2021 11:08:20:443;3;1;900133000459693
25895685;04.06.2021 11:08:21:071;3;1;
26398924;04.06.2021 11:08:21:405;3;2;900133000459719
27932798;04.06.2021 11:08:22:428;9;2;900133000459724
28027306;04.06.2021 11:08:22:491;3;2;
28201096;04.06.2021 11:08:22:607;3;2;900133000459693
28479513;04.06.2021 11:08:22:793;9;2;
28650005;04.06.2021 11:08:22:906;9;1;900133000459724
29164925;04.06.2021 11:08:23:250;9;1;
29166377;04.06.2021 11:08:23:251;9;1;900133000459725
29622054;04.06.2021 11:08:23:554;9;1;
30223017;04.06.2021 11:08:23:955;3;2;
41225780;04.06.2021 11:08:31:291;9;2;900133000459723
41930534;04.06.2021 11:08:31:760;9;2;
41931974;04.06.2021 11:08:31:761;9;2;900133000459727
43019615;04.06.2021 11:08:32:486;9;2;
43077345;04.06.2021 11:08:32:525;9;1;900133000459723
44165168;04.06.2021 11:08:33:250;9;1;
44226330;04.06.2021 11:08:33:291;9;1;900133000459727
46788522;04.06.2021 11:08:35:000;9;1;
47449826;04.06.2021 11:08:35:440;19;2;900133000459722
47783142;04.06.2021 11:08:35:662;19;2;
47784582;04.06.2021 11:08:35:663;19;2;900133000459721
48330089;04.06.2021 11:08:36:027;19;2;
49410534;04.06.2021 11:08:36:747;19;1;900133000459722
49810234;04.06.2021 11:08:37:013;19;1;
50002878;04.06.2021 11:08:37:142;19;1;900133000459721
51680648;04.06.2021 11:08:38:261;19;1;
51829984;04.06.2021 11:08:38:360;9;1;900133000459719
53744478;04.06.2021 11:08:39:637;9;1;
53745918;04.06.2021 11:08:39:637;9;1;900133000459693
55173739;04.06.2021 11:08:40:589;9;1;
59012329;04.06.2021 11:08:43:148;9;1;900133000459693
60663487;04.06.2021 11:08:44:250;9;2;900133000459722
